cs_j6542_FUT9,FUT9
cs_j9251_IMPDH2,IMPDH2
cs_q6381_KLRF1,KLRF1
cs_b11593_LSP1,LSP1
cs_j6220_CCBL2,CCBL2
cs_j11579_SERPINA12,SERPINA12
cs_j8038_TCEAL1,TCEAL1
cs_j6629_PHF7,PHF7
cs_q4467_CDK7,CDK7
cs_b11717_ZNF18,ZNF18
cs_b6592_UCHL5,UCHL5
cs_j7790_SLC35A1,SLC35A1
cs_j13658_C5orf46,C5orf46
cs_q6737_ALKBH3,ALKBH3
cs_j11787_CAPN8,CAPN8
cs_q7498_PATL1,PATL1
cs_j10505_NFKBID,NFKBID
cs_q10930_COX7A2,COX7A2
cs_b6135_ALG5,ALG5
cs_b6967_FBXO15,FBXO15
cs_b11291_PSORS1C1,PSORS1C1
cs_b5390_RWDD2A,RWDD2A
cs_b9351_NPRL3,NPRL3
cs_q7944_SYCP3,SYCP3
cs_j11747_HOOK3,HOOK3
cs_q9433_F2RL2,F2RL2
cs_b6470_RASSF8,RASSF8
cs_q10397_UFM1,UFM1
cs_q10448_UBE2B,UBE2B
cs_j10434_TTC7A,TTC7A
cs_j5541_CLIC4,CLIC4
cs_j12044_RARG,RARG
cs_b5515_NPDC1,NPDC1
cs_j7359_DDX39A,DDX39A
cs_j10448_TEKT3,TEKT3
cs_b8168_FH,FH
cs_j6155_CCDC84,CCDC84
cs_j13329_EXOC1,EXOC1
cs_j5733_UGT3A1,UGT3A1
cs_b6858_PTH1R,PTH1R
cs_b5778_HLA-B,HLA-B
cs_b5289_RSPH9,RSPH9
cs_j7638_ERLEC1,ERLEC1
cs_j9092_TMEM126B,TMEM126B
cs_b11663_RCBTB2,RCBTB2
cs_j7913_AP2M1,AP2M1
cs_q4665_SLC30A6,SLC30A6
cs_q9781_SLC12A8,SLC12A8
cs_j6995_ALG5,ALG5
cs_q5675_LILRA3,LILRA3
cs_q8263_PSMC5,PSMC5
cs_j9856_RAB9B,RAB9B
cs_j13390_CHSY3,CHSY3
cs_b12713_NRGN,NRGN
cs_q9578_C1S,C1S
cs_q4422_PPM1A,PPM1A
cs_b9414_FSTL4,FSTL4
cs_q8143_C6orf226,C6orf226
cs_q4360_TXNDC15,TXNDC15
cs_b13054_SOCS2,SOCS2
cs_j6476_C8orf45,C8orf45
cs_q8059_ZNF394,ZNF394
cs_b6140_BYSL,BYSL
cs_j12459_TACR1,TACR1
cs_b11041_EIF4E2,EIF4E2
cs_j13972_ADAM30,ADAM30
cs_j3963_SCG3,SCG3
cs_q6460_SLC25A6,SLC25A6
cs_j9442_WNT5A,WNT5A
cs_q5099_KCNQ2,KCNQ2
cs_j9987_NR1H4,NR1H4
cs_j4460_TAS2R41,TAS2R41
cs_j5845_CTDSP2,CTDSP2
cs_j4252_NIT2,NIT2
cs_b8579_ZMYND11,ZMYND11
cs_q7716_C16orf59,C16orf59
cs_b11278_TRIM28,TRIM28
cs_q7569_RECK,RECK
cs_q6713_NCOA5,NCOA5
cs_b7737_EHF,EHF
cs_b6235_RUFY4,RUFY4
cs_j5143_ARL6IP4,ARL6IP4
cs_j7572_ECH1,ECH1
cs_b9403_KIF2A,KIF2A
cs_j11212_ADAMTSL1,ADAMTSL1
cs_q10636_TUBB,TUBB
cs_b5369_NPM1,NPM1
cs_j11790_AOC2,AOC2
cs_q9460_METTL4,METTL4
cs_q9653_ABHD5,ABHD5
cs_b4187_TWSG1,TWSG1
cs_q5416_ISLR,ISLR
cs_j9109_HSF2,HSF2
cs_b6050_DHRS2,DHRS2
cs_q8494_LMBRD2,LMBRD2
cs_b9549_RNF217,RNF217
cs_b6343_PRSS48,PRSS48
cs_j12065_SLC35D3,SLC35D3
cs_j10890_RSPRY1,RSPRY1
cs_b5765_MYT1,MYT1
cs_j12297_CCDC90A,CCDC90A
cs_b6569_BHMT2,BHMT2
cs_b6854_CA14,CA14
cs_q4254_SYNPR,SYNPR
cs_j10075_RALB,RALB
cs_q10641_COX10,COX10
cs_q7776_CLCC1,CLCC1
cs_j4890_MEPCE,MEPCE
cs_q8870_RNMT,RNMT
cs_j9250_SLC7A6,SLC7A6
cs_b13495_WDR20,WDR20
cs_b4096_SLC26A1,SLC26A1
cs_q5407_ITGB1BP2,ITGB1BP2
cs_b8448_GBP1,GBP1
cs_b7035_FGL2,FGL2
cs_j12830_CCDC59,CCDC59
cs_q6747_TRMT61A,TRMT61A
cs_b9206_HNRNPR,HNRNPR
cs_q10567_RNF43,RNF43
cs_b10264_MLLT6,MLLT6
cs_j9158_LACTB2,LACTB2
cs_j10218_IL31RA,IL31RA
cs_j13177_RAB27B,RAB27B
cs_q10972_MEAF6,MEAF6
